"lemma"	"YF_prog_count"	"YF_non_prog"
"1"	"abandon"	1	4
"2"	"accord"	2	0
"3"	"ache"	1	0
"4"	"act"	3	12
"5"	"add"	1	47
"6"	"address"	1	5
"7"	"advance"	2	2
"8"	"aim"	1	4
"9"	"amuse"	1	2
"10"	"answer"	2	56
"11"	"apply"	0	4
"12"	"appreciate"	1	4
"13"	"argue"	1	9
"14"	"arrange"	1	8
"15"	"arrest"	0	4
"16"	"arrive"	1	29
"17"	"ask"	3	306
"18"	"astonish"	1	2
"19"	"attack"	1	10
"20"	"attempt"	1	4
"21"	"attend"	0	5
"22"	"await"	1	0
"23"	"bake"	1	2
"24"	"bark"	0	12
"25"	"bay"	1	0
"26"	"be"	15	6919
"27"	"bear"	2	32
"28"	"beat"	5	17
"29"	"beckon"	1	0
"30"	"become"	5	70
"31"	"beg"	1	12
"32"	"begin"	16	174
"33"	"behave"	2	4
"34"	"believe"	1	79
"35"	"bend"	2	15
"36"	"bet"	1	17
"37"	"blame"	1	0
"38"	"bleed"	2	2
"39"	"block"	1	0
"40"	"blow"	3	28
"42"	"bob"	1	0
"43"	"boil"	0	5
"44"	"bother"	2	16
"45"	"bow"	1	10
"47"	"break"	1	56
"48"	"breathe"	1	19
"49"	"bring"	2	97
"50"	"bristle"	1	0
"51"	"browse"	1	0
"52"	"bubble"	1	1
"53"	"budge"	1	0
"54"	"bug"	0	1
"55"	"build"	2	21
"56"	"burn"	0	25
"57"	"burst"	1	16
"58"	"buy"	0	31
"59"	"buzz"	1	2
"60"	"call"	8	146
"62"	"carry"	7	51
"63"	"catch"	1	76
"64"	"cause"	3	13
"65"	"celebrate"	0	2
"66"	"chain"	1	0
"67"	"change"	3	48
"68"	"chase"	5	4
"69"	"chat"	1	2
"70"	"cheat"	0	3
"71"	"check"	3	17
"72"	"cheer"	0	8
"73"	"chew"	1	8
"74"	"chirp"	1	0
"75"	"choke"	3	3
"76"	"chop"	1	3
"77"	"chuck"	1	0
"79"	"clap"	1	7
"80"	"clash"	1	0
"81"	"clean"	2	8
"82"	"clear"	0	16
"83"	"cling"	1	0
"84"	"close"	0	48
"85"	"cluck"	1	0
"86"	"collapse"	0	6
"87"	"collect"	0	9
"88"	"come"	43	618
"89"	"complain"	2	7
"90"	"compress"	1	0
"91"	"concentrate"	1	6
"92"	"confer"	1	0
"93"	"confuse"	2	1
"94"	"consider"	1	19
"95"	"cook"	0	9
"96"	"count"	2	14
"97"	"cower"	1	0
"98"	"crash"	0	7
"99"	"crawl"	1	14
"100"	"creep"	0	17
"101"	"cross"	0	27
"102"	"crouch"	3	7
"103"	"crush"	1	4
"104"	"cry"	9	84
"105"	"cut"	2	40
"106"	"cycle"	0	1
"107"	"dance"	3	13
"108"	"darken"	1	0
"109"	"dash"	1	6
"110"	"dawn"	1	0
"111"	"daydream"	1	0
"112"	"deal"	2	6
"113"	"deliver"	1	6
"114"	"demand"	1	21
"115"	"depend"	1	5
"116"	"descend"	1	4
"117"	"develop"	0	5
"118"	"die"	4	56
"119"	"dig"	6	12
"120"	"dip"	1	4
"121"	"disappear"	0	32
"122"	"discount"	1	0
"123"	"discuss"	3	4
"124"	"do"	56	640
"125"	"doubt"	1	8
"126"	"doze"	1	0
"127"	"drag"	1	23
"128"	"draw"	1	51
"129"	"dread"	0	2
"130"	"dream"	2	12
"131"	"drench"	1	0
"132"	"drift"	2	9
"133"	"drink"	6	20
"134"	"drip"	1	3
"135"	"drive"	3	33
"136"	"drool"	1	0
"137"	"drop"	1	57
"138"	"drown"	0	8
"139"	"earn"	0	5
"140"	"eat"	3	89
"141"	"eavesdrop"	1	0
"142"	"edge"	1	0
"143"	"elude"	1	0
"144"	"encourage"	0	3
"145"	"engage"	1	2
"146"	"engulf"	0	1
"147"	"enjoy"	2	21
"148"	"entertain"	2	0
"149"	"escape"	1	13
"150"	"establish"	1	0
"151"	"evaporate"	1	0
"152"	"exaggerate"	1	0
"153"	"except"	1	0
"154"	"exist"	1	10
"155"	"expect"	5	50
"156"	"experience"	0	4
"157"	"explain"	1	38
"158"	"extract"	1	0
"159"	"face"	2	21
"160"	"fade"	2	9
"161"	"fall"	0	111
"162"	"feed"	3	13
"163"	"feel"	11	276
"164"	"fight"	5	27
"165"	"fill"	0	37
"167"	"find"	0	259
"168"	"finish"	0	45
"169"	"fish"	1	3
"170"	"fix"	2	10
"171"	"flame"	1	0
"172"	"flash"	1	11
"173"	"flick"	1	6
"174"	"float"	1	12
"175"	"flood"	1	0
"176"	"flow"	1	7
"177"	"fly"	5	44
"178"	"follow"	5	68
"179"	"fool"	2	0
"180"	"force"	2	18
"181"	"form"	1	10
"182"	"garden"	1	0
"183"	"gasp"	1	13
"184"	"gather"	2	19
"185"	"gaze"	1	15
"186"	"get"	35	655
"187"	"give"	10	251
"188"	"glow"	1	7
"189"	"go"	76	938
"190"	"gorge"	1	0
"191"	"grab"	0	34
"192"	"grasp"	1	6
"193"	"grin"	4	18
"194"	"grip"	2	7
"195"	"groan"	2	6
"196"	"grow"	8	66
"197"	"growl"	2	9
"198"	"guard"	3	3
"199"	"hail"	1	0
"201"	"hammer"	1	2
"202"	"hand"	1	24
"203"	"hang"	6	43
"204"	"happen"	16	121
"205"	"have"	16	1056
"206"	"head"	4	21
"207"	"hear"	4	243
"208"	"help"	1	98
"209"	"hide"	7	32
"210"	"hoist"	1	0
"211"	"hold"	20	121
"212"	"hope"	6	59
"213"	"hover"	2	0
"214"	"hum"	1	2
"215"	"hunt"	5	2
"216"	"hurry"	1	29
"217"	"hurt"	0	34
"218"	"ignore"	0	18
"219"	"imagine"	1	33
"220"	"imitate"	1	0
"221"	"increase"	1	0
"222"	"insist"	1	14
"223"	"inspect"	1	0
"224"	"interfere"	1	0
"225"	"interrogate"	1	0
"226"	"interrupt"	0	13
"227"	"interview"	1	0
"228"	"introduce"	1	5
"229"	"invent"	0	6
"230"	"iron"	1	0
"231"	"issue"	1	1
"232"	"jangle"	1	0
"233"	"jerk"	1	0
"234"	"jest"	1	0
"235"	"jog"	1	0
"236"	"join"	0	25
"237"	"joke"	6	0
"238"	"jump"	0	44
"239"	"keel"	1	0
"240"	"keep"	5	165
"241"	"kick"	0	22
"242"	"kid"	3	0
"243"	"kill"	2	54
"244"	"kiss"	2	17
"245"	"kneel"	2	4
"246"	"knit"	1	0
"247"	"know"	1	678
"248"	"lack"	1	0
"249"	"languish"	1	0
"250"	"laugh"	7	67
"251"	"lay"	1	27
"252"	"lead"	0	49
"253"	"lean"	4	38
"254"	"leap"	4	17
"255"	"learn"	4	41
"256"	"leave"	7	177
"257"	"let"	0	203
"258"	"lick"	2	8
"259"	"lie"	19	77
"260"	"like"	2	159
"261"	"limp"	2	0
"262"	"listen"	9	64
"263"	"live"	10	73
"264"	"long"	1	0
"265"	"look"	42	670
"266"	"lose"	5	59
"267"	"lounge"	1	0
"268"	"love"	0	53
"269"	"lower"	0	14
"270"	"lurk"	1	0
"271"	"make"	19	471
"272"	"march"	1	10
"273"	"mean"	0	148
"274"	"meddle"	1	0
"275"	"meet"	2	59
"276"	"melt"	0	6
"277"	"milk"	1	0
"278"	"mislead"	1	0
"279"	"miss"	5	28
"280"	"moan"	0	5
"281"	"monopolize"	1	0
"282"	"mount"	1	0
"283"	"move"	10	114
"284"	"murder"	2	2
"285"	"murmur"	1	10
"286"	"mutter"	2	18
"287"	"name"	1	8
"288"	"near"	1	0
"289"	"need"	1	126
"290"	"negotiate"	1	0
"291"	"nibble"	1	0
"292"	"nod"	2	55
"293"	"ooze"	1	0
"294"	"open"	0	102
"295"	"operate"	0	2
"296"	"order"	1	16
"297"	"organise"	1	0
"298"	"organize"	1	0
"299"	"overflow"	1	0
"300"	"pack"	0	9
"301"	"paint"	2	11
"302"	"panic"	3	0
"304"	"pass"	1	67
"305"	"pay"	2	34
"306"	"peep"	1	0
"307"	"pester"	1	0
"308"	"pick"	1	70
"309"	"pile"	1	5
"310"	"pitch"	1	0
"311"	"place"	1	15
"312"	"plan"	8	6
"313"	"play"	5	56
"314"	"playact"	1	0
"315"	"plow"	1	0
"316"	"pluck"	1	3
"317"	"plug"	1	0
"318"	"point"	2	44
"319"	"ponder"	1	0
"320"	"pop"	2	7
"321"	"pound"	1	5
"322"	"pour"	1	15
"323"	"practice"	2	2
"324"	"practise"	0	2
"325"	"pray"	1	7
"326"	"preen"	1	0
"327"	"prepare"	2	9
"328"	"present"	1	5
"329"	"press"	0	24
"330"	"pretend"	2	16
"331"	"protect"	1	9
"332"	"prove"	1	12
"333"	"prowl"	1	0
"334"	"pull"	3	96
"335"	"pulse"	1	0
"336"	"punch"	1	3
"337"	"push"	4	46
"338"	"put"	7	191
"339"	"queue"	1	0
"340"	"quit"	1	2
"341"	"quiver"	1	0
"342"	"race"	3	9
"343"	"rain"	2	4
"344"	"raise"	0	45
"345"	"rasp"	1	0
"346"	"reach"	2	86
"347"	"read"	10	62
"348"	"realise"	0	13
"349"	"reappear"	1	0
"350"	"recall"	1	6
"352"	"record"	0	2
"353"	"reel"	1	0
"354"	"refer"	3	0
"355"	"regard"	1	0
"356"	"rehearse"	0	1
"357"	"relax"	0	8
"358"	"remember"	1	107
"359"	"remind"	1	17
"360"	"repair"	0	2
"361"	"respond"	1	4
"362"	"rest"	1	19
"363"	"retch"	1	0
"364"	"return"	2	37
"365"	"review"	1	0
"366"	"ride"	4	22
"367"	"ring"	3	10
"368"	"rise"	3	42
"369"	"risk"	0	6
"370"	"roam"	1	0
"371"	"roar"	0	13
"372"	"roll"	3	34
"373"	"row"	0	2
"374"	"rub"	1	18
"375"	"ruin"	0	6
"376"	"run"	22	145
"377"	"rush"	4	17
"378"	"sail"	0	8
"379"	"save"	1	28
"380"	"savour"	1	0
"381"	"say"	32	2506
"382"	"scan"	0	5
"383"	"scare"	0	2
"384"	"scoot"	0	1
"385"	"scramble"	1	8
"386"	"scrape"	0	6
"387"	"scream"	2	30
"388"	"search"	3	13
"389"	"see"	7	679
"390"	"seep"	1	0
"391"	"seethe"	1	0
"392"	"sell"	3	13
"393"	"send"	5	53
"394"	"set"	1	64
"395"	"settle"	2	0
"396"	"shake"	7	73
"397"	"share"	2	9
"398"	"shift"	1	10
"399"	"shine"	3	7
"400"	"ship"	1	0
"401"	"shiver"	1	7
"402"	"shoot"	1	28
"403"	"shootle"	1	0
"405"	"shout"	3	71
"406"	"show"	3	75
"407"	"shrink"	1	4
"408"	"sing"	3	29
"409"	"singe"	1	0
"410"	"sink"	1	16
"411"	"sit"	27	167
"412"	"slap"	1	7
"413"	"sleep"	6	39
"414"	"slide"	0	23
"415"	"smile"	5	70
"416"	"smoke"	2	5
"417"	"smuggle"	0	1
"418"	"sniff"	1	14
"419"	"snigger"	1	0
"420"	"snip"	1	0
"421"	"snore"	1	2
"422"	"snort"	1	4
"423"	"snow"	1	1
"424"	"snub"	1	0
"425"	"sob"	1	4
"426"	"sort"	0	5
"427"	"speak"	6	95
"428"	"speed"	0	6
"429"	"spend"	0	35
"430"	"spin"	2	11
"431"	"splash"	0	5
"432"	"split"	0	5
"433"	"spread"	1	18
"434"	"sprint"	1	0
"435"	"spy"	2	1
"436"	"squeeze"	1	9
"437"	"squint"	1	5
"438"	"stalk"	1	3
"440"	"stand"	31	176
"441"	"stare"	13	86
"442"	"start"	5	143
"443"	"starve"	4	3
"444"	"stay"	2	72
"445"	"steal"	2	20
"446"	"stick"	0	31
"447"	"stop"	0	152
"448"	"store"	0	3
"449"	"straighten"	0	6
"450"	"stream"	3	1
"451"	"stretch"	1	19
"452"	"stroll"	1	4
"453"	"struggle"	1	14
"454"	"strut"	0	1
"455"	"study"	1	12
"456"	"stumble"	1	0
"457"	"suck"	2	6
"458"	"suffer"	1	7
"459"	"suggest"	1	25
"460"	"sulk"	1	0
"462"	"surround"	0	9
"463"	"swarm"	2	0
"464"	"sweat"	1	0
"465"	"sweep"	1	12
"466"	"swell"	1	0
"467"	"swim"	1	9
"468"	"swing"	2	22
"469"	"take"	14	430
"470"	"talk"	35	85
"471"	"tan"	1	0
"472"	"teach"	2	21
"473"	"tear"	1	21
"474"	"teeter"	1	0
"475"	"telephone"	1	1
"477"	"tell"	10	378
"478"	"tessellate"	1	0
"479"	"test"	1	4
"480"	"think"	42	619
"481"	"threaten"	1	5
"482"	"throb"	1	0
"483"	"throw"	1	56
"484"	"thud"	0	1
"485"	"tingle"	1	0
"486"	"touch"	3	34
"487"	"track"	1	1
"488"	"train"	1	4
"489"	"tramp"	0	1
"490"	"travel"	5	9
"491"	"traverse"	1	0
"492"	"treat"	0	9
"493"	"tremble"	3	7
"494"	"trouble"	2	0
"495"	"try"	36	204
"496"	"turn"	4	256
"497"	"twitch"	1	4
"498"	"unfold"	1	0
"499"	"use"	2	120
"500"	"vanish"	1	14
"501"	"visit"	0	12
"502"	"wade"	2	0
"503"	"wag"	0	3
"504"	"wail"	0	5
"505"	"wait"	20	100
"506"	"wake"	2	32
"507"	"walk"	6	127
"508"	"wander"	2	12
"509"	"want"	1	372
"510"	"warm"	1	0
"511"	"wash"	0	18
"512"	"waste"	1	8
"513"	"watch"	14	112
"514"	"wave"	1	26
"515"	"weaken"	1	0
"516"	"wear"	13	54
"517"	"weep"	2	0
"518"	"weigh"	1	4
"519"	"well"	1	0
"520"	"whine"	1	3
"521"	"whip"	1	5
"522"	"whirl"	1	4
"523"	"whisper"	1	55
"524"	"whistle"	1	6
"525"	"wind"	1	5
"526"	"winkle"	1	0
"527"	"wonder"	6	72
"528"	"work"	23	73
"529"	"worry"	4	25
"530"	"wrap"	0	14
"531"	"wreck"	1	0
"532"	"write"	3	55
"533"	"yell"	1	21
