Filename	Dim1	Dim2	Dim3	Dim4	Dim5	Dim6	TextType
128_PRATCHETT1988DW06TERS_1.txt.txt	7.9591	7.1519	-2.0585	-1.1165	-2.2755	-1.3262	Imaginative narrative
138_PRATCHETT1991DW11RMAN_3.txt.txt	1.8238	4.6103	-2.4008	-0.3401	-1.1613	-1.7666	Imaginative narrative
148_PRATCHETT1994DW17IMES_2.txt.txt	2.5246	4.8834	0.0860	0.2883	-0.3930	-1.0764	Imaginative narrative
184_Paolini2002Eragon_2.txt.txt	-5.4008	5.2795	-1.4853	-0.4630	-0.3653	-2.0459	General narrative exposition
180_PRATCHETT2001DW28ENTS_3.txt.txt	11.1602	5.6677	0.3781	-0.6071	-3.1197	-1.5612	Imaginative narrative
141_PRATCHETT1992DW13GODS_1.txt.txt	5.7740	6.5428	-0.1309	-0.1939	-1.0216	-0.7283	Imaginative narrative
195_TalesofaFourthGradeNothingJudyBlume_3.txt.txt	10.1825	4.3835	-0.6371	-0.4964	-0.2105	-1.5820	Imaginative narrative
172_PRATCHETT2000DW25RUTH_3.txt.txt	12.2714	6.9249	-0.6026	-0.5496	-1.2514	-1.1771	Imaginative narrative
119_FamilyResemblance_4.txt.txt	5.4403	5.5639	-2.7350	-0.9712	-2.0181	-1.5271	Imaginative narrative
178_PRATCHETT2001DW26TIME_2.txt.txt	4.1296	6.5716	-1.3724	-0.5836	-1.8478	-1.6798	Imaginative narrative
149_PULLMAN1995DM01PASS_4.txt.txt	5.7876	2.3244	-1.1216	0.7674	-1.9317	-1.0642	Imaginative narrative
190_Hosseini2003KiteRunner_2.txt.txt	1.4629	4.6494	-0.5468	-0.6293	-2.3157	-1.8069	Imaginative narrative
105_Flowersintheattic_4.txt.txt	4.1086	3.0433	-1.7630	1.1901	-1.2788	-1.3374	Imaginative narrative
133_GAIMANPRATCHETT1990GOODMENS_4.txt.txt	-1.2972	6.3511	0.7352	-0.9268	0.1817	-0.9614	Imaginative narrative
183_PRATCHETT2002DW29ATCH_4.txt.txt	10.7730	5.9953	-2.4816	0.3687	-1.5135	-1.5431	Imaginative narrative
124_PRATCHETT1987DW04MORT_4.txt.txt	4.1932	3.5026	-1.3956	-0.3280	-1.0271	-1.5698	Imaginative narrative
131_PRATCHETT1989DW08ARDS_3.txt.txt	1.2570	6.5660	-1.1129	-3.3568	-1.1063	-1.7788	Imaginative narrative
186_PRATCHETT2003DW30EMEN_3.txt.txt	5.9793	5.9717	-2.6246	-1.0321	-1.9733	-2.2976	Imaginative narrative
126_IslandoftheBlueDolphinsScottODell_1.txt.txt	1.4200	6.5624	-2.6032	-0.3169	-0.1806	-0.8776	Imaginative narrative
159_TUBB1997THERTURN_3.txt.txt	-3.9892	8.9421	4.1635	3.7826	-0.8345	-2.5957	General narrative exposition
192_PRATCHETT2004DW32FSKY.en_2.txt.txt	9.7217	5.7699	-2.5544	0.4700	0.1220	-1.7000	Imaginative narrative
162_PRATCHETT1998DW22NENT_1.txt.txt	4.1804	5.0213	-1.5909	0.1646	-1.6365	-1.1360	Imaginative narrative
193_PRATCHETT2004DW33STAL.en_2.txt.txt	0.8916	5.3331	-2.2573	-1.8318	-0.7899	-0.9367	Imaginative narrative
190_Hosseini2003KiteRunner_4.txt.txt	-4.1119	5.7678	-0.5987	-3.0842	-1.0619	-1.4655	General narrative exposition
147_PRATCHETT1994DW16USIC_2.txt.txt	8.5064	5.6248	-2.0923	0.5038	-1.1533	-1.7116	Imaginative narrative
156_ThePhantomTollboothNortonJuster_4.txt.txt	12.8207	6.4071	-1.9976	3.1767	-0.9783	-1.2884	Imaginative narrative
198_BEChildrenRowlingJ.HarryPotterandtheHalfBloodPrince_2.txt.txt	5.6441	7.9944	-1.0461	0.3465	-1.6355	-0.7150	Imaginative narrative
189_FromtheMixedUpFilesofMrs.E.L.Konigsburg_2.txt.txt	5.7029	3.4952	-0.6853	3.0950	0.7633	-0.2674	Imaginative narrative
174_BEChildrenRowlingJHarryPotterandtheGobletofFire_3.txt.txt	-8.5990	5.8268	-1.9675	-2.2427	-0.8320	-2.1345	General narrative exposition
171_Snicket1999BadBeginning_2.txt.txt	6.4995	6.0951	-1.0364	2.7901	-1.7279	-1.6099	Imaginative narrative
199_TheLightningThiefRiordanRick_2.txt.txt	7.4117	2.5960	-0.8215	-0.0335	-0.7501	-2.4719	Imaginative narrative
170_BEChildrenRowlingJHarryPotterandthePrisonerofAzkaban_4.txt.txt	1.9469	8.3238	-2.7611	1.0138	-1.2997	-1.3802	Imaginative narrative
145_TheGiverLoisLowry_1.txt.txt	7.9912	7.7653	-2.0070	0.7236	-1.0983	-0.2522	Imaginative narrative
104_BunniculaDeborahHowe_4.txt.txt	12.9275	2.4357	-2.2324	0.0924	0.2111	-0.7321	Imaginative narrative
150_Blyton1994FamousFive_1.txt.txt	7.3399	7.6390	-2.8914	0.5333	-2.1990	-0.6112	Imaginative narrative
111_ALightintheAttic_1.txt.txt	2.0577	0.2341	1.4895	-1.9352	-1.9674	-1.9365	Involved persuasion
185_HADDON2003THECTIME_2.txt.txt	19.7898	4.3415	0.1854	-4.8415	-2.0527	-1.6426	Informational interaction
115_Valentine_FindingVioletPark_4.txt.txt	12.4108	0.4542	-0.3988	0.4990	-1.4362	-1.3576	Involved persuasion
166_MatildaDahlRoald_1.txt.txt	7.1181	4.6470	-0.9087	-0.2834	-1.4594	0.1011	Imaginative narrative
148_PRATCHETT1994DW17IMES_1.txt.txt	5.3159	3.8142	-2.3714	-1.5424	-0.2745	-0.7838	Imaginative narrative
152_GOLDING1995THEDNGUE_2.txt.txt	8.3088	0.0935	1.6044	0.3920	-0.0671	-0.6742	Involved persuasion
149_PULLMAN1995DM01PASS_2.txt.txt	9.6938	3.7323	-0.8134	0.4032	-1.3360	-2.0460	Imaginative narrative
181_BANKS2002DEADAIR_3.txt.txt	8.5476	1.8278	-1.1636	-0.3463	-1.9506	-1.2329	Imaginative narrative
116_TheWitches_4.txt.txt	4.2123	1.4295	-0.8153	-2.9368	-2.6955	0.0608	Imaginative narrative
200_Westerfeld2005Uglies_3.txt.txt	6.6512	5.6312	-2.4248	0.7295	-0.7452	-0.6105	Imaginative narrative
188_BEChildrenRowlingJHarryPotterandtheOrderofthePhoenix_1.txt.txt	-6.7380	5.3718	-0.0806	-1.0912	-0.7127	-2.8476	General narrative exposition
200_Westerfeld2005Uglies_4.txt.txt	-3.7154	5.8607	-1.6056	0.9045	-1.0728	-1.4957	General narrative exposition
195_TalesofaFourthGradeNothingJudyBlume_2.txt.txt	9.3234	5.3096	-2.0615	-1.0046	-1.5724	-1.9155	Imaginative narrative
175_SMITH2000WHITEETH_3.txt.txt	3.1099	2.1016	0.3169	-0.6410	-1.7907	-1.1495	Involved persuasion
182_GAIMAN2002CORALINE_3.txt.txt	4.3680	7.6049	-0.8894	-1.6130	-1.7592	-1.5324	Imaginative narrative
198_BEChildrenRowlingJ.HarryPotterandtheHalfBloodPrince_1.txt.txt	1.0801	8.1821	-0.6486	-1.1579	-0.6621	-0.7204	Imaginative narrative
125_WINTERSON2000THEPBOOK_4.txt.txt	8.0372	2.6647	-0.3407	0.4404	-1.4123	-1.1923	Imaginative narrative
197_PRATCHETT2005THESATCH.env2_4.txt.txt	-0.1627	1.8923	1.0289	-0.0783	-0.2934	-0.2068	Involved persuasion
101_Blume1978FreckleJuice_3.txt.txt	4.3364	3.1751	-2.3166	1.5093	-1.9878	-2.1688	Imaginative narrative
138_PRATCHETT1991DW11RMAN_4.txt.txt	0.7981	4.8829	-3.2982	-1.6109	-1.8812	-0.7241	Imaginative narrative
191_DELANEY2004THESTICE.enuk_1.txt.txt	12.8517	4.9479	-2.3573	5.0219	-0.4705	-1.4328	Imaginative narrative
179_PRATCHETT2001DW27HERO_3.txt.txt	5.5264	6.7714	-1.3573	-2.0408	-1.6184	-0.4196	Imaginative narrative
174_BEChildrenRowlingJHarryPotterandtheGobletofFire_4.txt.txt	1.6663	9.6447	-2.1288	2.1807	-1.3605	-0.9927	Imaginative narrative
122_Jacques1986Redwall_1.txt.txt	-7.9334	2.1726	-1.1498	-0.8564	-1.9648	-1.1485	General narrative exposition
137_Avi1990TrueCharlotteDoyle_2.txt.txt	8.6181	6.5422	-1.0188	1.7800	-0.8136	-1.1576	Imaginative narrative
112_RamonaQuimbyAge8BeverlyCleary_3.txt.txt	-3.3095	5.8114	1.0637	0.0264	-0.9396	-1.5760	General narrative exposition
148_PRATCHETT1994DW17IMES_3.txt.txt	1.5809	4.4751	-1.3579	0.0145	-2.0960	-1.3329	Imaginative narrative
169_PRATCHETT1999THESLD01_2.txt.txt	1.4048	-0.1831	-1.7861	1.2168	0.7725	-0.1474	Involved persuasion
168_PRATCHETT1999DW24HANT_4.txt.txt	7.4909	3.8870	-1.0938	-0.1160	-1.2838	-1.2246	Imaginative narrative
144_PRATCHETT1993JOHNDEAD_1.txt.txt	10.2726	6.7574	-2.3857	-1.1212	-1.7531	-1.7238	Imaginative narrative
139_PRATCHETT1991DW12ROAD_3.txt.txt	9.1244	3.8679	-1.0365	0.5860	-1.6831	-1.5929	Imaginative narrative
194_CressidaCowellHowtoTrainYoHowtoBeaPirate_3.txt.txt	-3.9329	4.2997	-0.4287	-2.6440	-2.4152	-0.8343	General narrative exposition
193_PRATCHETT2004DW33STAL.en_3.txt.txt	1.4653	4.4649	-0.5833	-0.0956	-0.7513	-0.7348	Imaginative narrative
127_PRATCHETT1988DW05CERY_3.txt.txt	2.8410	4.1320	-1.7866	-1.4407	-1.0074	-1.6107	Imaginative narrative
174_BEChildrenRowlingJHarryPotterandtheGobletofFire_2.txt.txt	-4.9373	7.5084	-3.0835	-0.9603	-1.2388	-2.5621	General narrative exposition
138_PRATCHETT1991DW11RMAN_1.txt.txt	1.3670	3.8640	-2.1246	-1.1242	-0.7839	-1.7965	Imaginative narrative
131_PRATCHETT1989DW08ARDS_2.txt.txt	7.6174	3.9791	-0.0116	-1.6235	-0.4336	-1.4450	Imaginative narrative
186_PRATCHETT2003DW30EMEN_1.txt.txt	7.0318	6.7444	-2.4629	-1.8283	-1.5211	-1.8776	Imaginative narrative
178_PRATCHETT2001DW26TIME_4.txt.txt	10.8936	6.1033	-0.9510	0.0514	-1.1883	-1.3026	Imaginative narrative
135_PRATCHETT1990DW09ERIC_1.txt.txt	5.5418	5.4535	-0.9180	-0.1466	-1.0046	-1.2557	Imaginative narrative
103_SNOW1974ACOANISH_4.txt.txt	10.2571	5.0460	0.0012	0.9323	-1.6039	0.3838	Imaginative narrative
127_PRATCHETT1988DW05CERY_2.txt.txt	-1.6788	6.3938	-1.9005	0.0134	-1.8894	-1.7057	Imaginative narrative
111_ALightintheAttic_2.txt.txt	3.5432	-0.8477	3.0340	-3.6631	-2.3789	-1.8198	Involved persuasion
160_EllaEnchantedUnbekannt_3.txt.txt	4.0830	5.1331	-1.1079	4.9924	1.1523	-2.0642	Imaginative narrative
184_Paolini2002Eragon_1.txt.txt	-5.6357	4.9010	-0.7095	2.2800	-0.7787	-2.3572	General narrative exposition
162_PRATCHETT1998DW22NENT_3.txt.txt	5.3329	4.3117	-0.9818	-0.3519	-0.9368	-1.3567	Imaginative narrative
129_Pratchett_Truckers_3.txt.txt	10.0561	4.5253	-2.1054	1.1592	-2.0271	-2.4855	Imaginative narrative
135_PRATCHETT1990DW09ERIC_2.txt.txt	9.1936	5.0159	-0.4243	1.4476	-0.9710	-0.8946	Imaginative narrative
192_PRATCHETT2004DW32FSKY.en_3.txt.txt	14.3287	2.5151	-0.8469	-2.4520	-1.1036	-1.0459	Imaginative narrative
151_Creech1994WalkTwoMoons_4.txt.txt	8.6023	5.2227	0.0266	0.2963	-1.7371	0.1843	Imaginative narrative
136_PRATCHETT1990DW10URES_4.txt.txt	5.8840	6.9430	-2.3635	-1.5468	-2.1243	-1.8853	Imaginative narrative
187_PRATCHETT2003DW31MENT_4.txt.txt	7.5799	5.3904	-0.1179	-0.3478	-1.7600	-1.6685	Imaginative narrative
106_GOLDING1980RITESAGE_4.txt.txt	-1.6464	1.7822	2.1529	-0.8798	-0.0360	-0.0295	General narrative exposition
165_HolesLouisSachar_4.txt.txt	1.7013	5.4133	-1.5195	3.1346	-0.9122	-1.8016	Imaginative narrative
199_TheLightningThiefRiordanRick_1.txt.txt	2.5338	3.5677	-0.6311	0.8884	-1.2841	-2.1123	Imaginative narrative
139_PRATCHETT1991DW12ROAD_1.txt.txt	6.6702	7.7379	-0.9316	-0.8270	-2.4600	-1.5233	Imaginative narrative
194_CressidaCowellHowtoTrainYoHowtoBeaPirate_1.txt.txt	-0.8146	5.2616	-0.1657	-1.8263	-1.6445	-1.5395	Imaginative narrative
125_WINTERSON2000THEPBOOK_2.txt.txt	6.9917	1.1896	0.8840	-1.0906	-2.2944	-1.4986	Involved persuasion
173_PULLMAN2000DM03LASS_3.txt.txt	5.7515	6.0913	-1.6482	0.9388	-1.4426	-1.4584	Imaginative narrative
107_SuperfudgeJudyBlume_4.txt.txt	12.4002	5.1391	-1.4157	0.9812	-2.4222	-1.3145	Imaginative narrative
130_PRATCHETT1989DW07MIDS_4.txt.txt	3.4270	5.3470	-1.4738	0.0192	-0.4756	-2.1024	Imaginative narrative
113_BEChildrenDahlRoaldTheBFG_2.txt.txt	1.3476	5.4685	-2.3888	0.5345	-2.5212	-1.7181	Imaginative narrative
144_PRATCHETT1993JOHNDEAD_3.txt.txt	12.0814	7.7212	-2.2930	-0.1843	-0.6835	-2.2586	Imaginative narrative
137_Avi1990TrueCharlotteDoyle_3.txt.txt	0.8787	7.5141	-1.3443	1.5441	-0.1911	-1.2667	Imaginative narrative
198_BEChildrenRowlingJ.HarryPotterandtheHalfBloodPrince_4.txt.txt	4.1354	8.3414	-1.5663	-0.1628	-0.7183	-1.8859	Imaginative narrative
111_ALightintheAttic_4.txt.txt	5.0792	0.3399	1.6203	-2.3910	-1.9865	-1.9519	Involved persuasion
112_RamonaQuimbyAge8BeverlyCleary_4.txt.txt	0.8383	5.8673	-0.7998	0.7202	-0.9114	-1.8976	Imaginative narrative
159_TUBB1997THERTURN_4.txt.txt	-8.2850	3.7393	3.9148	0.2085	0.5267	-2.1204	General narrative exposition
114_Mortal-Engines-Quartet_Hungry-City_Reeve_1.txt.txt	-6.3412	6.2494	-0.0129	-1.2374	-1.0216	-1.0277	General narrative exposition
163_PRATCHETT1998DW23ULUM_1.txt.txt	9.9840	7.0184	-1.8109	3.2526	-1.4886	-1.0145	Imaginative narrative
193_PRATCHETT2004DW33STAL.en_1.txt.txt	5.1570	4.1667	-0.9209	-1.3323	-2.3289	-1.2505	Imaginative narrative
127_PRATCHETT1988DW05CERY_1.txt.txt	3.2650	6.6202	-1.1769	-0.6856	-1.8787	-1.6096	Imaginative narrative
196_MCEWAN2005SATURDAY.en_1.txt.txt	-7.7398	4.4385	0.6854	-1.1404	-1.7528	-1.4119	General narrative exposition
170_BEChildrenRowlingJHarryPotterandthePrisonerofAzkaban_1.txt.txt	-4.0718	5.5366	-1.1113	-1.5308	-1.2372	-2.1247	General narrative exposition
149_PULLMAN1995DM01PASS_3.txt.txt	0.5631	4.4874	2.5468	-0.5434	-0.9436	-1.6433	Imaginative narrative
145_TheGiverLoisLowry_3.txt.txt	6.2615	7.4614	-1.0468	-0.3467	-0.9023	-0.4224	Imaginative narrative
157_PRATCHETT1997DW21INGO_3.txt.txt	8.8355	2.9244	-0.1576	1.4360	-0.8378	-0.9605	Imaginative narrative
149_PULLMAN1995DM01PASS_1.txt.txt	7.1718	2.5051	-0.6656	1.2805	-1.6475	-1.1072	Imaginative narrative
155_PRATCHETT1996JOHNBOMB_3.txt.txt	12.9002	7.3319	-0.8859	-0.4110	-1.7936	-1.5052	Imaginative narrative
120_PRATCHETT1986DW02STIC_4.txt.txt	0.4372	5.7007	-0.0096	-0.3876	-1.7778	-1.6737	Imaginative narrative
155_PRATCHETT1996JOHNBOMB_1.txt.txt	11.1243	7.1237	-2.0888	-0.1594	-2.8481	-2.2012	Imaginative narrative
168_PRATCHETT1999DW24HANT_1.txt.txt	6.9425	5.0045	-2.2542	1.3715	-0.1573	-0.9052	Imaginative narrative
153_PRATCHETT1995DW18RADE_1.txt.txt	4.5716	5.7786	-2.5408	1.2582	-2.1679	-2.2760	Imaginative narrative
145_TheGiverLoisLowry_2.txt.txt	2.9510	8.6717	0.6073	-0.2976	-1.1446	-0.7462	Imaginative narrative
123_Paulsen1986Hatchet_4.txt.txt	1.9973	7.9560	-1.0596	-2.0650	-1.3562	-1.5221	Imaginative narrative
180_PRATCHETT2001DW28ENTS_2.txt.txt	9.8976	4.6420	-1.1117	0.6080	-2.4968	-1.3587	Imaginative narrative
103_SNOW1974ACOANISH_3.txt.txt	16.4236	5.6237	-1.8223	1.1573	-1.7561	-0.1190	Imaginative narrative
197_PRATCHETT2005THESATCH.env2_2.txt.txt	-5.1036	1.0320	-1.2243	-1.0726	0.2536	-0.2274	General narrative exposition
166_MatildaDahlRoald_3.txt.txt	5.3186	3.8669	-1.1634	0.4620	-2.0041	-0.6402	Imaginative narrative
124_PRATCHETT1987DW04MORT_3.txt.txt	4.0811	5.5597	-1.7327	0.7669	-1.8910	-2.1955	Imaginative narrative
196_MCEWAN2005SATURDAY.en_4.txt.txt	-0.5857	2.4009	-0.7211	-0.5724	-1.2491	-1.4012	Imaginative narrative
146_BEChildrenMcEwanIanTheDaydreamer_1.txt.txt	0.3488	5.5945	-0.2042	0.0014	0.1480	-0.9065	Imaginative narrative
142_PRATCHETT1992DW14DIES_3.txt.txt	5.6857	4.3878	-2.2850	-2.5970	-0.6529	-2.0147	Imaginative narrative
197_PRATCHETT2005THESATCH.env2_1.txt.txt	2.5639	3.6508	0.2622	0.3252	0.4924	0.7755	Imaginative narrative
109_Auel1980ClanCaveBear_3.txt.txt	3.7565	5.7807	0.6160	1.8916	-1.1989	-1.7716	Imaginative narrative
137_Avi1990TrueCharlotteDoyle_4.txt.txt	6.7550	5.6570	-2.4780	2.0571	-1.2552	-0.9243	Imaginative narrative
108_IndianintheCupboard_1.txt.txt	2.0392	6.0709	-2.7238	0.1873	-2.4912	-2.3834	Imaginative narrative
