Author,Year,Title,Focus,Nb.TxBs,Setting,TxB level,TxB market,TxB pub.date,TxB content studied,Methodology,Reference corpus,Full bibiographic reference
Al Khateen & Almujaiwel,2018,Communicative Activities in Saudi EFL Textbooks: A Corpus-driven Analysis,speaking tasks,57,EFL,primary and secondary,"local, Saudi Arabia",2016–2018,,corpus-driven,,"Al Khateeb, A., & Almujaiwel, S. (2018). Communicative Activities in Saudi EFL Textbooks: A Corpus-driven Analysis. Journal of Language Teaching and Research, 9(6), 1301. https://doi.org/10.17507/jltr.0906.20"
Alejo González et al.,2010,Phrasal verbs in EFL course books,phrasal verbs,8,EFL,ESO3 and Bac1 ,"local: Spain, secondary schools",2002–2008,,"page-by-page survey, comparison with BNC data",BNC1994,"Alejo González, Rafael, Ana Piquer Píriz & Guadalupe Reveriego Sierra. 2010. Phrasal verbs in EFL course books. In Sabine De Knop, Frank Boers & Antoon De Rycker (eds.), Fostering Language Teaching Efficiency through Cognitive Linguistics (Applications of Cognitive Linguistics 17), 59–78. Berlin, New York: De Gruyter Mouton. doi:10.1515/9783110245837.59"
Barbieri & Eckhardt,2007,Applying corpus-based findings to form-focused instruction: The case of reported speech,reported speech,7,ESL/EFL,,international grammar textbooks,1989–2001,,"page-by-page survey of textbooks, corpus analysis of reference corpus","Conversation from the American Conversation component of the LSWE corpus and Service Encounters, Study Groups, and Office Hours from the TOEFL 2000 Spoken and Written Academic Language","Barbieri, Federica & Suzanne EB Eckhardt. 2007. Applying Corpus-Based Findings to Form-Focused Instruction: The Case of Reported Speech. Language Teaching Research 11(3). 319–346. http://dx.doi.org/10.1177/1362168807077563"
Bardovi-Harlig et al.,1991,Developing pragmatic awareness: Closing the conversation,conversation closings,20,ESL,beginner-intermediate,international,“current”,,page-by-page survey,,"Bardovi-Harling, Kathleen, Beverly A. S. Hartford, Rebecca Mahan-Taylor, Mary J. Morgan & Dudley W. Reynolds. 1991. Developing pragmatic awareness: closing the conversation. ELT Journal 45(1). 4–15. doi:10.1093/elt/45.1.4"
Biber,2002,What does frequency have to do with grammar teaching?,"noun premodifiers, present progressive vs. simple present",6,EFL/ESL,intermediate-advanced ,international  grammar books,1986–2000,,comparative corpus-driven,LGSWE (20 million words),"Biber, Douglas & Randi Reppen. 2002. What Does Frequency Have to Do with Grammar Teaching? Studies in Second Language Acquisition 24(02). 199–208. doi:10.1017/S0272263102002048"
Biber,2006,University language: a corpus-based study of spoken and written registers,lexical bundles,at least 18,EAP/ESP,university,"university textbooks, from a total of six broad disciplines",,87 texts from the textbooks,MDA,TOEFL 2000 Spoken and Written Academic Language,"Biber, Douglas. 2006. University language: a corpus-based study of spoken and written registers (Studies in Corpus Linguistics v. 23). Amsterdam; Philadelphia: John Benjamins."
Biber et al.,2002,Speaking and Writing in the University: A Multidimensional Comparison,wide range of lexico-grammatical features,at least 18,EAP/ESP,university,"university textbooks, from a total of six broad disciplines",,87 texts from the textbooks,MDA,TOEFL 2000 Spoken and Written Academic Language,"Biber, Douglas, Susan Conrad, Randi Reppen, Pat Byrd & Marie Helt. 2002. Speaking and Writing in the University: A Multidimensional Comparison. TESOL Quarterly 36(1). 9. https://doi.org/10.2307/3588359"
"Bouhlal Horst, & Martini",2018,Modality in ESL Textbooks: Insights from a Contrastive Corpus-Based Analysis. ,central modals,9 (3 series),ESL,intermediate,"local: Québec, upper secondary school",2007–2009,,comparative corpus-based,BNC1994 and COCA,"Bouhlal, F., Horst, M., & Martini, J. (2018). Modality in ESL Textbooks: Insights from a Contrastive Corpus-Based Analysis. The Canadian Modern Language Review, 74(2), 227–252. https://doi.org/10.3138/cmlr.3075"
Boxer & Pickering,1995,Problems in the presentation of speech acts in ELT materials: the case of complaints,speech acts of complaints,7,EFL/ESL,intermediate-advanced ,international,1981–1991,,page-by-page analysis,,"Boxer, Diana & Lucy Pickering. 1995. Problems in the Presentation of Speech Acts in ELT Materials: The Case of Complaints. ELT Journal 49(1). 44–58. doi:10.1093/elt/49.1.44"
Cane,1998,Teaching conversation skills more effectively,lexico-grammatical features of conversation,,EFL,,international,“recent”,,page-by-page survey,,"Cane, Graeme. 1998. Teaching Conversation Skills More Effectively. The Korea TESOL Journal 51(1). 31–37. "
Catalán & Francisco,2008,Vocabulary input in EFL textbooks,vocabulary,4,EFL,beginner,"local: Spain, 6th grade of primary education and 4th grade of secondary education",2000–2002,,"intra-textbook, corpus-driven",,"Catalán, ROSA Ma Jiménez & Rocío Mancebo Francisco. 2008. Vocabulary Input in EFL Textbooks. Revista Española De Lingüística Aplicada (RESLA),(21) 21. 147–166. "
Chen,2016,A Critical Evaluation of Text Difficulty Development in ELT Textbook Series: A Corpus-Based Approach Using Variability Neighbor Clustering,text difficulty,18,EFL,intermediate-advanced ,"local: Taiwan, secondary school",2009–2013,main readings texts from each lesson,trigram-based NLP model,BNC1994,"Chen, Alvin Cheng-Hsien. 2016. A Critical Evaluation of Text Difficulty Development in ELT Textbook Series: A Corpus-Based Approach Using Variability Neighbor Clustering. System 58. 64–81. https://doi.org/10.1016/j.system.2016.03.011. "
Chen,2010,An investigation of lexical bundles in ESP textbooks and electrical engineering introductory textbooks,lexical bundles,,ESP,university,USA?,,,comparative corpus-driven,corpus of entry-level university electrical engineering textbooks,"Chen, Lin. 2010. An Investigation of Lexical Bundles in ESP Textbooks and Electrical Engineering Introductory Textbooks. In David Wood (ed.), Perspectives on Formulaic Language: Acquisition and Communication, 107–125. London; New York: Continuum."
Cheng,2007,Comparing simultaneous talk in Hong Kong school textbooks and Hong Kong,simultaneous talk,15,ESL,,"local: Hong Kong, secondary school, upper-form",1994–2003,page-by-page survey of textbooks,comparison of textbook examples with instances of simultaneous talk in conversation corpus of NS and competent HK English speakers,"customized intercultural spoken corpus, comprising of 40% of the two-million-word Hong Kong Corpus of Spoken English (HKCSE) (Cheng, Greaves and Warren, 2005)","Cheng, Winnie. 2007. Comparing Simultaneous Talk in Hong Kong School Textbooks and Hong Kong Corpus of Spoken English. Proceedings of the Redesigning Pedagogy: Culture, Knowledge and Understanding Conference. Singapore. "
Cheng,2005,// → well I have a DIFferent // ↘ THINking you know //: A corpus-driven study of disagreement in Hong Kong Business Discourse,disagreement,,ESL,upper secondary school,,1999–2003,,comparison of textbook examples with instances of disagreement in conversation corpus of NS and competent HK English speakers,Hong Kong Corpus of Spoken English (HKCSE) (2 million word corpus of naturally occurring spoken discourses primarily between Hong Kong Chinese and native speakers of English,"Cheng, Winnie & Martin Warren. 2005. // → Well I Have a DIFferent // ↘ THINking You Know //: A Corpus-Driven Study of Disagreement in Hong Kong Business Discourse. In M. Gotti & F. Bargiela (eds.), Asian Business Discourse(s), 241–270. Frankfurt am Main: Peter Lang. "
Cheng & Cheng,2010,Correcting others and self-correcting in business and professional discourse and textbooks,correcting and self-corrections,15,ESL,intermediate-advanced ,"local: Hong Kong, secondary school, upper-form",1993–2003,,comparative corpus-driven,transcripts of service encounters and job interviews from HKCSE,"Cheng, Winnie & Pang Cheng. 2010. Correcting Others and Self-Correcting in Business and Professional Discourse and Textbooks. In Anna Trosborg (ed.), Pragmatics across Languages and Cultures, 443–466. Berlin: Walter de Gruyter. http://public.eblib.com/choice/publicfullrecord.aspx?p=584974 (25 November, 2017). "
Cheng & Warren,2007,Checking Understandings: Comparing Textbooks and a Corpus of Spoken English in Hong Kong,strategies to monitor and check understanding in conversation,15,ESL,secondary school (upper form),"local: Hong Kong, ESL",1994–2003,page-by-page analysis of textbooks,comparison of textbook examples with conversation corpus of NS and competent HK English speakers,"920,000 words extracted from the prosodically transcribed Hong Kong Corpus of Spoken English (Cheng, Greaves & Warren, 2005)","Cheng, Winnie & Martin Warren. 2007. Checking Understandings: Comparing Textbooks and a Corpus of Spoken English in Hong Kong. Language Awareness 16(3). 190–207. doi:10.2167/la455.0"
Chujo,2004,Measuring vocabulary levels of English textbooks and tests using a BNC lemmatised high frequency word list,vocabulary level,8,"high school, EFL",intermediate and advanced,"local: Japan, high school",1999–2001,,comparative corpus-driven,"lemmatised, high frequency word list extracted from the BNC1994","Chujo, Kiyomi. 2004. Measuring Vocabulary Levels of English Textbooks and Tests Using a BNC Lemmatised High Frequency Word List. Language and Computers 51(1). 231–249. "
Conrad,2004,"Corpus variety: corpus linguistics, language variation, and language teaching",linking adverbials of contrast and concession,4,ESL,,high school,1997–1999,grammar sections and one lecture,multi-dimensional analysis (MDA),lectures from the TOEFL 2000 Spoken and Written Academic Language (T2K-SWAL) Corpus,"Conrad, Susan. 2004. Corpus variety: Corpus linguistics, language variation, and language teaching. In John McH. Sinclair (ed.), Studies in Corpus Linguistics, vol. 12, 67–85. Amsterdam: John Benjamins."
Conrad,1996,Academic discourse in two disciplines: Professional writing and student development in biology and history,Biber’s 67 lexico-grammatical features (1988),18,university,university,university-level ecology and American history textbooks,see Conrad 1996 PhD thesis: Chapter 4 and Appendix A,ten 500-word samples from each textbook,"comparative corpus-driven, MDA according to Biber (1988)",80 800-word samples from 20 research articles,"Conrad, Susan M. 1996. Academic discourse in two disciplines: Professional writing and student development in biology and history. Northern Arizona University PhD."
Cullen & Kuo,2007,Spoken Grammar and ELT Course Materials: A Missing Link?,features of spoken grammar,26,EFL,beginner – advanced,international,2000–2006,excludes written dialogues and transcripts of listening materials,page-by-page survey of overt attention to elements of spoken grammar according to Carter (2004),,"Cullen, Richard & I-Chun (Vicky) Kuo. 2007. Spoken Grammar and ELT Course Materials: A Missing Link? TESOL Quarterly 41(2). 361–386. doi:10.1002/j.1545-7249.2007.tb00063.x"
de la Rosa,2014,Differences between ELT textbooks and English language corpora: A quick look into the Chilean context,speech formulae,2,EFL,,"international, adult learners",,,,,"Godoy de la Rosa, William A. 2014. Differences between ELT textbooks and English language corpora: A quick look into the Chilean context. The Language, Education and Culture Journal 1(1). 1–9."
Eckhardt,2001,Reported speech: Empirical corpus findings compared with ESL/EFL textbook presentations,indirect reported speech,7,ESL/EFL,,international grammar textbooks,1989–2001,,"page-by-page analysis of textbooks, corpus analysis of reference corpus",3.3 million word corpus of newspaper writing and a 2.1 million word corpus of everyday conversation drawn from the American English component of the Longman Spoken and Written English (LSWE) Corpus,"Eckhardt, Suzanne. 2001. Reported speech : empirical corpus findings compared with EFL/ESL textbook presentations. Ames: Iowa State University M.A. thesis. doi:10.31274/rtd-180813-8333. https://lib.dr.iastate.edu/rtd/17551/ (30 January, 2020). "
Frazier,2003,A Corpus Analysis of Would-Clauses without Adjacent If-Clauses,would-clauses without adjacent if-clauses,8,ESL,,international,1988–2000,only focuses on explicit grammar sections,reference corpus-based (no textbook corpus),"sample of 467 instances of would-conditionals in one written and two spoken AE corpora (Brown, Santa Barbara Corpus of Spoken American English, and three transcripts from the Michigan Corpus of Academic Spoken English)","Frazier, Stefan. 2003. A Corpus Analysis of Would-Clauses without Adjacent If-Clauses. TESOL Quarterly 37(3). 443–466. doi:10.2307/3588399"
Fujimoto,2017,Do English textbooks reflect the actual use of English?: the present perfect and temporal adverbials,present perfect,6,EFL,secondary school,local: Japan,“textbook occupancy rate of 40% in 2013–2015”,"extracts from textbooks (100,000 words)",comparative corpus-driven,"fiction and general prose sub-corpora of FLOB (BE, 1991) and Frown (AE, 1992), longitudinal learner corpus of academic writing (100,000 words)","Fujimoto, Kazuko. 2017. Do English Textbooks Reflect the Actual Use of English?: The Present Perfect and Temporal Adverbials. Presented at the The 9th International Corpus Linguistics Conference, University of Birmingham. https://www.birmingham.ac.uk/Documents/college-artslaw/corpus/conference-archives/2017/general/paper117.pdf (9 January, 2017). "
Gabrielatos,1994,"Collocations: Pedagogical implications, and their treatment in pedagogical materials",collocations,5,EFL,,international,1981–1992,only explicit mentions of collocations considered,page-by-page survey,,"Gabrielatos, Costas. 1994. Collocations: Pedagogical Implications, and Their Treatment in Pedagogical Materials. Research Centre for English and Applied Linguistics, Cambridge University, UK. Unpublished PhD thesis. https://www.researchgate.net/publication/261708736_Collocations_Pedagogical_implications_and_their_treatment_in_pedagogical_materials"
Gabrielatos,2003,Conditional Sentences: ELT typology and corpus evidence.,conditionals,15,EFL/ESL,intermediate-advanced ,international,1998–2001,grammar sections,applying textbook conditional typologies to real English,781 randomly selected conditional sentences from written BNC1994,"Gabrielatos, Costas. 2003. Conditional Sentences: ELT Typology and Corpus Evidence. Presented at the BAAL 36th Annual Meeting. https://www.researchgate.net/publication/261708834_Conditional_Sentences_ELT_typology_and_corpus_evidence"
Gabrielatos,2006,Corpus-based evaluation of pedagogical materials If-conditionals in ELT coursebooks and the BNC,conditionals,11,EFL/ESL,advanced,international,1999–2004,only looking at grammar sections,applying textbook conditional typologies to real English,781 randomly selected conditional sentences from written BNC1994,"Gabrielatos, Costas. 2006. Corpus-Based Analysis of Pedagogical Materials: If-Conditionals in ELT Coursebooks and the BNC. Presented at the 7th Teaching and Language Corpora Conference. https://www.researchgate.net/publication/228880683_Corpus-based_evaluation_of_pedagogical_materials_If-conditionals_in_ELT_coursebooks_and_the_BNC"
Gilmore,2004,Comparison of textbook and authentic interactions,spoken language features,10,EFL,beginner,international,1981–2001,10 dialogues extracted from the textbooks,"page-by-page survey of textbooks, comparison with “authentic” re-enacted dialogues",Transcripts of re-enacted dialogues,"Gilmore, Alex. 2004. A Comparison of Textbook and Authentic Interactions. ELT Journal 58(4). 363–374. doi:10.1093/elt/58.4.363"
Gouverneur,2008,The phraseological patterns of high-frequency verbs in advanced English for general purposes: A corpus-driven approach to EFL textbook analysis,phraseological patterns of high-frequency verbs,6 books from 3 series,EGP,intermediate and advanced,international,2000–2005,"TeMa corpus: exercises from coursebooks and workbooks (12 volumes in total, 72,566 words)","textbook corpus-based, exercise focus",,"Gouverneur, Céline. 2008. The Phraseological Patterns of High-frequency Verbs in Advanced English for General Purposes: A Corpus-driven Approach to EFL Textbook Analysis. In Fanny Meunier & Sylviane Granger (eds.), Phraseology in Foreign Language Learning and Teaching, 223–243. Amsterdam: John Benjamins Publishing Company. doi:10.1075/z.138.17gou. https://benjamins.com/catalog/z.138.17gou (3 February, 2020). "
Grabowski,2015,Keywords and lexical bundles within English pharmaceutical discourse: A corpus-driven description,keywords and lexical bundles,,,,international,,,comparative corpus-driven,corpus of non-academic pharmaceutical text types,"Grabowski, Łukasz. 2015. Keywords and lexical bundles within English pharmaceutical discourse: A corpus-driven description. English for Specific Purposes 38. 23–33. https://doi.org/10.1016/j.esp.2014.10.00"
Grant & Starks,2001,Screening appropriate teaching materials. Closings from textbooks and television soap operas,conversation closings,23 textbooks,ESL/EFL,elementary and advanced,,1979–1994,,comparison of textbook dialogues with dialogues from soap operas,50 episodes of the New Zealand soap opera Shortland Street,"Grant, Lynn & Donna Starks. 2001. Screening appropriate teaching materials Closings from textbooks and television soap operas. IRAL - International Review of Applied Linguistics in Language Teaching 39(1). 39–50. doi:10.1515/iral.39.1.39"
Hill,1996,Verb-form clustering and syllabus design,verb-form clusters,,EFL,beginner,,,,,,"Hill, Victor J. 1996. Verb-Form Clustering and Syllabus Design. System 24(4). 529–536. doi:10.1016/S0346-251X(96)00047-4"
Holmes,1988,Doubt and certainty in ESL textbooks,doubt and certainty,4,ESL,,international/Asia-Pacific reference grammars and coursebooks ,1967–1982,,"page-by-page survey of the grammars and textbooks, comparison with reference corpora","50,000 words of spoken and written AE and BE from a variety of contexts (see Holmes 1982, 1983)","Holmes, Janet. 1988. Doubt and Certainty in ESL Textbooks. Applied Linguistics 9(1). 21–44. doi:10.1093/applin/9.1.21"
Hyland,1994,Hedging in academic writing and EAP textbooks,hedging,22,EAP/ESP,post beginner-advanced,international,1969-1991,,"page-by-page analysis of the grammar sections, comparison with previous corpus-based findings",various,"Hyland, Ken. 1994. Hedging in academic writing and EAP textbooks. English for specific purposes 13(3). 239–256."
Jiang,2006,Suggestions: What should ESL students know?,suggesting,6 series,ESL,beginner-advanced,international,1980–2001,"no textbook corpus analysis, only focuses on explicit mention of speech act of suggestion",page-by-page survey of the textbooks and comparison with corpus-based data,Office hours and study groups of the TOEFL 2000 Spoken and Written Academic Language Corpus (T2K-SWAL Corpus) Biber et al. (2002),"Jiang, Xiangying. 2006. Suggestions: What Should ESL Students Know? System 34(1). 36–54. doi:10.1016/j.system.2005.02.003"
Konstantakis & Alexiou,2012,Vocabulary in Greek young learners' English as a foreign language course books,vocabulary,5,EFL,primary school,local: Greece,2003–2005,,"comparison with 2,000 most frequent words from the BNC1994",BNC1994,"Konstantakis, Nikolaos & Thomaï Alexiou. 2012. Vocabulary in Greek Young Learners’ English as a Foreign Language Course Books. The Language Learning Journal 40(1). 35–45. doi:10.1080/09571736.2012.658222"
Koprowski,2005,Investigating the usefulness of lexical phrases in contemporary coursebooks,lexical phrases,3,EGP,intermediate,international,1998–2000,,"page-by-page extraction all lexical phrases explicitly presented in the textbooks, comparison to NS corpus data",5 sub-corpora from COBUILD Bank of English,"Koprowski, M. 2005. Investigating the Usefulness of Lexical Phrases in Contemporary Coursebooks. ELT Journal 59(4). 322–332. doi:10.1093/elt/cci061"
Lam,2010,Discourse Particles in Corpus Data and Textbooks: The Case of Well,well as a discourse particle,15,ESL,upper secondary school,local: Hong Kong,1994–2003,"only spoken sections of integrated skills textbooks, full oral skills textbooks",corpus-based comparative,Hong Kong Corpus of Spoken English,"Lam, P. W. Y. (2010). Discourse Particles in Corpus Data and Textbooks: The Case of Well. Applied Linguistics, 31(2), 260–281. https://doi.org/10.1093/applin/amp026"
Le Foll,2022,MAKING tea and mistakes: The Functions of MAKE in Spoken English and Textbook Dialogues,phraseology of MAKE,42,EFL,lower secondary school,"local: Germany, France, Spain",2006–2018,dialogues,comparative corpus-based,Spoken BNC2014,"Le Foll, Elen. 2022. MAKING tea and mistakes: The Functions of MAKE in Spoken English and Textbook Dialogues. In Zihan Yin & Elaine Vine (eds.), Multifunctionality in English: Corpora, Language and Academic Literacy Pedagogy, 157–178. Oxon; New York: Routledge."
